measure	mean	sd
EO_total_beta	-0.3948090305372392	0.011236171021484175
EM_total_beta	-0.23426974226749822	0.013407212266442592
MO_total_beta	0.0796450482777608	0.006768855799571359
EO_direct_beta	-0.36336790703076066	0.010863918390547818
MO_direct_beta	0.08224012130560834	0.00722096016509055
EO_total_se	0.010997418281769126	8.266709963284948e-4
EM_total_se	0.013501156934681029	0.0010333142064542652
MO_total_se	0.006290588252518845	3.0794846587981915e-4
EO_direct_se	0.010786379147036118	4.816813158723031e-4
MO_direct_se	0.00678835834570045	2.8696980430806387e-4
indirect_b_difference	-0.031441123506478506	0.002883506619954263
indirect_se_difference_PoE	0.015411136991949879	8.37293867203056e-4
indirect_b_product_v1	-0.0186502762529716	0.001833278600058295
indirect_se_product_v1_PoE	0.014903687255467757	9.46012486273083e-4
indirect_se_product_v1_delta	0.0018280082086202507	1.1337420674045355e-4
indirect_b_product_v2	-0.019254414863558764	0.0019022595331767587
indirect_se_product_v2_PoE	0.015120794350104723	9.349999364480781e-4
indirect_se_product_v2_delta	0.0019433688019437417	1.1339566588059327e-4
