measure	mean	sd
EO_total_beta	-0.39372000181369354	0.010919654690235602
EM_total_beta	-0.17953709123688774	0.013092853954472565
MO_total_beta	-0.03090490322162848	0.007308926083034124
EO_direct_beta	-0.3884682094136699	0.010864312594589646
MO_direct_beta	-0.02680048441228729	0.008076396847258865
EO_total_se	0.010805847694990002	7.998384236344584e-4
EM_total_se	0.013256267165849924	9.81796085247613e-4
MO_total_se	0.00721255691167485	4.0531028470678867e-4
EO_direct_se	0.010813194518483189	5.124372006701509e-4
MO_direct_se	0.007996673149978909	3.677575913567388e-4
indirect_b_difference	-0.005251792400023685	0.002395519638972278
indirect_se_difference_PoE	0.015293268712852174	8.423733295653258e-4
indirect_b_product_v1	0.00554641685325979	0.0013698808455653954
indirect_se_product_v1_PoE	0.015102868645456562	8.836332056817549e-4
indirect_se_product_v1_delta	0.0013617639818839186	1.1674236946128984e-4
indirect_b_product_v2	0.004810467739215501	0.0014923360294035232
indirect_se_product_v2_PoE	0.015493005467659715	8.608096433600762e-4
indirect_se_product_v2_delta	0.0014828451071060376	1.221999647332741e-4
