measure	mean	sd
EO_total_beta	-0.39521398623974185	0.011155133577352438
EM_total_beta	-0.7842335884730877	0.012744616416559261
MO_total_beta	-0.018770617752371876	0.012262547827034216
EO_direct_beta	-0.40097738224597806	0.014754405483518232
MO_direct_beta	-0.011993242187057654	0.013053747722142841
EO_total_se	0.010825019820987835	7.964316703661215e-4
EM_total_se	0.012810319984667407	9.622165451301623e-4
MO_total_se	0.011985474057053297	0.00107290790481589
EO_direct_se	0.014927585334951757	9.012913871711375e-4
MO_direct_se	0.013184215734502017	8.237577818695246e-4
indirect_b_difference	0.005763396006236208	0.010250617296907119
indirect_se_difference_PoE	0.018444720634814386	0.0011191846476588032
indirect_b_product_v1	0.014717273251259495	0.00961303777809267
indirect_se_product_v1_PoE	0.017570926107560572	0.0010461604638466449
indirect_se_product_v1_delta	0.009404349473637387	8.604130968022292e-4
indirect_b_product_v2	0.009405935906404506	0.010239109064868407
indirect_se_product_v2_PoE	0.018403530693735418	9.173741597063325e-4
indirect_se_product_v2_delta	0.010342436804082264	6.746829318788906e-4
