measure	mean	sd
EO_total_beta	-0.39398009866396566	0.011492776350980297
EM_total_beta	0.024592326343125633	0.01303143360478168
MO_total_beta	0.04925540405324807	0.01604751923507317
EO_direct_beta	-0.39350942318842524	0.011275699042753476
MO_direct_beta	0.05567210817828181	0.017237658548674803
EO_total_se	0.010882320268788123	8.123394961823826e-4
EM_total_se	0.012661865119719952	9.588233497611263e-4
MO_total_se	0.01598226119159554	0.0019333318819507274
EO_direct_se	0.010761724645173075	6.970917944427015e-4
MO_direct_se	0.017149581539962547	0.0012247806173548454
indirect_b_difference	-4.7067547554044187e-4	0.001202767526369141
indirect_se_difference_PoE	0.015307338825498161	0.0010347691501505656
indirect_b_product_v1	0.0012143959623694687	7.707397284372465e-4
indirect_se_product_v1_PoE	0.020440557132951995	0.001610644791679522
indirect_se_product_v1_delta	7.688944107127761e-4	2.1189585034526719e-4
indirect_b_product_v2	0.0013713863466567142	8.576355455533735e-4
indirect_se_product_v2_PoE	0.021344041876516125	0.001131875951427043
indirect_se_product_v2_delta	8.54335792806638e-4	2.2738575651079236e-4
