measure	mean	sd
EO_total_beta	-0.39505763302279845	0.011304994029086527
EM_total_beta	0.0925743967680584	0.012849563479057805
MO_total_beta	0.11284249427165745	0.009818606423014152
EO_direct_beta	-0.400382636593279	0.01105936157206271
MO_direct_beta	0.11577863203916894	0.01018150395275606
EO_total_se	0.01108302701729116	8.179338764053348e-4
EM_total_se	0.013018744845850031	9.600698024389227e-4
MO_total_se	0.009439125069743924	6.669464509787104e-4
EO_direct_se	0.010901309466670176	5.83301612180602e-4
MO_direct_se	0.010062103852019987	5.3692858046969e-4
indirect_b_difference	0.005325003570480543	0.0023799293272689682
indirect_se_difference_PoE	0.015551198668109686	9.172483982396466e-4
indirect_b_product_v1	0.010443751954227051	0.0017047366524360248
indirect_se_product_v1_PoE	0.01609897292221011	8.796756022307654e-4
indirect_se_product_v1_delta	0.0017163046598885042	1.6373828540916266e-4
indirect_b_product_v2	0.010719298625547352	0.0017752644032798203
indirect_se_product_v2_PoE	0.01646999801472728	8.260237890738914e-4
indirect_se_product_v2_delta	0.0017787327638373166	1.6558586814803143e-4
