measure	mean	sd
EO_total_beta	-0.3948041282022984	0.01140362533918966
EM_total_beta	0.1211938811586934	0.013354141653019357
MO_total_beta	0.1271542726506394	0.00952948971143419
EO_direct_beta	-0.4049324466581793	0.011091797777273114
MO_direct_beta	0.12975801280426752	0.010125004784755746
EO_total_se	0.01108381356044321	8.189954837276622e-4
EM_total_se	0.013005803764887358	0.0010012692076325801
MO_total_se	0.009325910662236403	6.393266580734758e-4
EO_direct_se	0.010960055814644064	5.713180132370132e-4
MO_direct_se	0.00989786183806908	5.094757214062236e-4
indirect_b_difference	0.01012831845588093	0.0026755936600013643
indirect_se_difference_PoE	0.015593301475543546	9.053595906149848e-4
indirect_b_product_v1	0.015411261413325742	0.002070303569556497
indirect_se_product_v1_PoE	0.016023802322599874	8.78600956026308e-4
indirect_se_product_v1_delta	0.0020091575642783685	1.65038225673794e-4
indirect_b_product_v2	0.015728500304895386	0.0021552982487334543
indirect_se_product_v2_PoE	0.016360515547065135	8.448009768647572e-4
indirect_se_product_v2_delta	0.0020763727108269203	1.6752091488275196e-4
