measure	mean	sd
EO_total_beta	-0.3945302937766315	0.011254961222161592
EM_total_beta	-0.006482542334623583	0.012892596472282136
MO_total_beta	0.1337505959337315	0.009552631617395084
EO_direct_beta	-0.3885283752453131	0.011045397651171147
MO_direct_beta	0.13608974894119058	0.010231622790876133
EO_total_se	0.011138139703088759	8.342955432131524e-4
EM_total_se	0.012940930580473284	9.625762640346055e-4
MO_total_se	0.009646375030768733	6.66937284464147e-4
EO_direct_se	0.01089039878478424	5.949623639474493e-4
MO_direct_se	0.010240635266493022	5.544509371915885e-4
indirect_b_difference	-0.006001918531318421	0.002377423023417496
indirect_se_difference_PoE	0.015582841658355353	9.401333294408957e-4
indirect_b_product_v1	-8.662128452489436e-4	0.0017320811374526158
indirect_se_product_v1_PoE	0.016159858788903886	8.659887003118098e-4
indirect_se_product_v1_delta	0.0017367312768935162	1.80765592157337e-4
indirect_b_product_v2	-8.749843088858673e-4	0.0017582527272052664
indirect_se_product_v2_PoE	0.016519569400158193	8.219076909899808e-4
indirect_se_product_v2_delta	0.001767465379175599	1.863596712800574e-4
